cpg index	Gene Symbol
cg00000292	ATP2A1
cg00002426	SLMAP
cg00003994	MEOX2
cg00006414	ZNF398
cg00007981	PANX1
cg00008493	COX8C
cg00008713	IMPA2
cg00009407	TTC8
cg00011459	PMM2
cg00012199	RNASE4
cg00012386	C1orf142
cg00013618	
cg00014085	RetSat
cg00014837	ACRBP
cg00015770	GPR103
cg00016968	RHOC
cg00021527	TAF15
cg00022606	TBC1D20
cg00022866	FLJ37970
cg00024396	ELOVL5
cg00024812	CPSF3
cg00025138	MAP3K9
cg00025991	DIP2C
cg00027083	EPB41L3
cg00027674	RAB38
cg00029826	CCNB1IP1
cg00030047	C1orf188
cg00031162	TNFSF12-TNFSF13
cg00032227	NAT9
cg00033773	MORG1
cg00034039	C9orf85
cg00035347	NT5C2
cg00035623	UBE2S
cg00037763	SETBP1
cg00037940	PIK3CB
cg00040861	LSM7
cg00040873	NDUFB10
cg00041575	TSPAN32
cg00042156	MGC16291
cg00043004	NOXO1
cg00043080	PLD3
cg00044245	EPHA7
cg00044729	FLJ25421
cg00047050	CUL5
cg00047469	C9orf43
cg00050312	PRKCA
cg00051623	CASP1
cg00051979	C10orf4
cg00053292	CCDC44
cg00054706	C1D
cg00056767	FLJ38725
cg00057593	GML
cg00058938	TTC9B
cg00059225	GLRA1
cg00059424	PES1
cg00059740	MGC5242
cg00059930	RB1
cg00060762	LEO1
cg00061629	ALX4
cg00062776	TULP2
cg00063144	KRTHA1
cg00065385	ACTL7A
cg00065408	CACNB3
cg00066153	ACRV1
cg00066816	IL12B
cg00067471	ATP5D
cg00069261	CDR2
cg00071998	MSH5
cg00072216	MXD4
cg00075967	STRA6
cg00076645	DC-UbP
cg00077457	ZNF326
cg00077877	DDEF1
cg00079056	SPINK4
cg00079563	ARFGAP3
cg00080012	EED
cg00081935	TSPAN9
cg00081975	ABCC3
cg00083937	MAPK8IP2
cg00084687	GATAD1
cg00091693	KRT20
cg00093177	FLJ43826
cg00094851	KIF3C
cg00095526	CACNA1S
cg00095674	PLEKHO1
cg00096922	DLX5
cg00097536	ZFP36L2
cg00098162	ANKRD22
cg00098239	NTE
cg00103783	MPDU1
cg00105253	NUDT14
cg00105470	C1orf35
cg00107187	FLJ42486
cg00107488	TXNRD2
cg00107632	PGM2
cg00108454	C1QA
cg00112517	PPP1R1B
cg00113951	CABP1
cg00116234	ADAMTSL1
cg00116838	FLJ40125
cg00117172	RUNX3
cg00119079	LAMP3
cg00121158	JMJD2C
cg00121640	ASTN2
cg00123035	RFX5
cg00126034	WNT3
cg00128560	TIGD7
cg00128654	C14orf102
cg00128877	MKNK1
cg00129774	CDK2
cg00131557	DNAJC15
cg00132141	CTNNA3
cg00133909	CD276
cg00134539	UBASH3A
cg00134787	MYH1
cg00135056	C3orf37
cg00136105	GNPTAB
cg00136405	IL21
cg00136477	C1QC
cg00136736	C22orf19
cg00138126	TMEPAI
cg00141162	HCLS1
cg00143376	NMUR1
cg00143998	HIST3H2BB
cg00146096	FANCF
cg00149659	C3orf10
cg00149976	MGLL
cg00151607	GALNS
cg00155167	VPS13B
cg00155485	THRAP2
cg00155609	PRDX2
cg00156216	APLP2
cg00156744	STK10
cg00158308	OXGR1
cg00160914	C1orf183
cg00162401	GSTA4
cg00162643	DDX58
cg00164898	MAPK11
cg00165981	COL4A3BP
cg00167504	BLVRA
cg00168082	ABL1
cg00168785	WDSUB1
cg00168942	CX40.1
cg00171126	WRB
cg00171161	NUDT9
cg00174500	CMTM5
cg00174901	PALM
cg00176210	ANK1
cg00176879	PTPRA
cg00177013	ARFRP1
cg00177698	PNPO
cg00177923	LEPROTL1
cg00178790	C18orf19
cg00180012	LACE1
cg00183916	HS3ST3B1
cg00184884	SFI1
cg00184893	ALOXE3
cg00185103	ZNF45
cg00185839	LRDD
cg00186141	PODXL
cg00186701	TSPYL5
cg00186954	ST5
cg00187380	HOXC5
cg00187686	TCN1
cg00194146	GFOD1
cg00195561	CHRM4
cg00197381	FAM53C
cg00197641	MRPL52
cg00199549	MCM5
cg00200063	USP32
cg00201234	FBLN2
cg00202702	MGC13040
cg00204262	ECH1
cg00206052	RP11-529I10.4
cg00207534	KIAA0174
cg00208830	LAMC2
cg00208967	OLFM2
cg00209066	BRD1
cg00210842	APAF1
cg00211661	CENTD2
cg00213331	SIL1
cg00213714	TRIM32
cg00214855	C6orf79
cg00215066	MYO9B
cg00216361	GAP43
cg00216758	C11orf35
cg00217795	DIO2
cg00221494	FARP1
cg00223186	ACBD6
cg00223950	RBAF600
cg00224508	CDC42SE1
cg00226904	SERPINB5
cg00228799	ENDOG
cg00229387	TJAP1
cg00230271	MGC16169
cg00230368	IGF2R
cg00231140	ACAA2
cg00231644	TUBB2A
cg00231920	VPS16
cg00233307	MAP4K1
cg00234616	TLX2
cg00236832	RARA
cg00237010	NINJ2
cg00239071	C14orf68
cg00239419	RPS6KB1
cg00239685	GORASP1
cg00240432	TWIST1
cg00240880	WISP2
cg00241355	GAPDH
cg00242839	RBM17
cg00243313	IRX4
cg00245878	H-plk
cg00247489	CR2
cg00250430	DMRT2
cg00256074	MYLPF
cg00256166	KLHL25
cg00256281	PMM1
cg00261552	CREBL2
cg00261781	MATN3
cg00262415	PUSL1
cg00265415	B3GALNT2
cg00265490	MTDH
cg00268009	ADH5
cg00268338	HECTD2
cg00269115	LOC148898
cg00273068	EMILIN3
cg00273124	NOLA2
cg00274399	FGF9
cg00275232	ZNF342
cg00276797	SLK
cg00278366	RAD9B
cg00282347	CHD5
cg00282683	UBE3C
cg00283535	ANXA13
cg00288562	TRA2A
cg00290028	RFXAP
cg00290506	CNIH3
cg00291877	SNRPA1
cg00292662	LGALS1
cg00292971	KIAA0773
cg00293409	LRRC33
cg00294382	IL23A
cg00295206	RAB7
cg00297584	FLJ42957
cg00297600	UNC5D
cg00301864	RAB35
cg00302793	PPP3CA
cg00303548	HS6ST3
cg00307685	BRDT
cg00308133	GAMT
cg00309056	STARD3NL
cg00309204	C17orf61
cg00311768	TSTA3
cg00312919	STARD3NL
cg00314943	ALPPL2
cg00315936	SND1
cg00317680	MTERFD1
cg00318573	CHRNA4
cg00318865	ACVR1B
cg00319761	PKMYT1
cg00320243	RAB3A
cg00321065	RLF
cg00321478	CRB1
cg00323915	GIMAP4
cg00324733	NUCB2
cg00325491	FN5
cg00327185	DLAT
cg00327483	CASQ1
cg00331237	CSRP2
cg00331433	SYAP1
cg00332153	BANK1
cg00332745	NOL3
cg00333226	UNQ739
cg00333528	GABRR1
cg00334507	MVP
cg00335286	MC2R
cg00336605	NR1H2
cg00338702	CHFR
cg00340102	ERGIC3
cg00342530	GARNL3
cg00343092	BZRP
cg00344358	GDF11
cg00344372	HGFAC
cg00346145	RPL34
cg00347729	MMP10
cg00347904	SCUBE3
cg00350296	CD248
cg00350478	FRMD1
cg00350702	ERGIC3
cg00351011	LASS4
cg00353953	ZNF384
cg00354258	ZIM2
cg00354572	FLJ21963
cg00355802	DUSP4
cg00359325	USP4
cg00359973	RIBC1
cg00363813	HOM-TES-103
cg00367281	CHRNB3
cg00367438	C7orf21
cg00368022	FLJ11193
cg00368415	SNX27
cg00371195	F2
cg00374717	ARSG
cg00375964	ABCE1
cg00376639	ZNF581
cg00380464	LTV1
cg00381076	C18orf54
cg00382515	MRPL44
cg00384537	KRTHA5
cg00386408	TGFBI
cg00387170	FOXP4
cg00392257	ISG20L2
cg00393585	FLJ31659
cg00394658	PTPRJ
cg00396894	MGC44505
cg00397545	APOC1
cg00397740	PPOX
cg00398048	AGA
cg00399483	DCC
cg00400263	C20orf177
cg00401678	EMR3
cg00405070	C12orf8
cg00405568	NMT1
cg00405677	HAND1
cg00407150	GUP1
cg00410419	COMMD6
cg00410576	MAPK6
cg00410831	ZNF45
cg00410895	CCDC23
cg00410898	STC1
cg00411097	MGC9712
cg00412772	C19orf33
cg00412805	KBTBD5
cg00413066	BCL2L10
cg00415978	SYNPO2
cg00415993	F2RL2
cg00417297	ZNF619
cg00418150	ALX4
cg00419564	S100A6
cg00420568	SHC3
cg00420715	VPS13B
cg00420929	PGPEP1
cg00424946	SNTB2
cg00425710	MT1A
cg00425792	PEX12
cg00426056	CUTA
cg00426498	MYO18A
